address,Ensemble,IsolationForest,OneClassSVM,LOF,IsolationForest_score,tx_count,total_received,total_sent,net_balance_change,max_tx_size,avg_tx_size,unique_counterparties,tx_per_day,active_days,burstiness,high_value_ratio,counterparty_diversity,inflow_outflow_asymmetry,timing_entropy,velocity_hours,collateral_ratio,smart_contract_flag,degree,weighted_degree,clustering_coefficient,betweenness_centrality
addr_test1qp23yv7k4kzhd2rntjamkda4q7hdn9qkrf63u9p8ce6fhwdeve3p6rsav4v5mdcz8qzcfenrlwhrs2ffk04ac44ermfq5t8ljx,1,1,1,1,0.1269487112396621,2,14999.819891,10000.0,4999.819890999999,10000.0,3571.4028415714283,2,2.0,1,37845.0,0.0,1.0,0.1999942364704774,-0.0,0.0,0.0,0,,,,
addr_test1qp5r7gm03mw08u9zkfrxvdr5phwg9n2mn90mcthpmea6kmt5tuww9mf3pzmp3nrvjm95hfju2v57w6f5d54h8eqd2wysqkvsl9,1,1,1,1,0.1186101244493945,1,4999.831331,10000.0,-5000.168669,10000.0,7499.915665500001,1,1.0,1,0.0,0.0,1.0,-0.3333483263019232,-0.0,,0.0,0,,,,
addr_test1qp6h0qzy8e5dw238qzde33tz6qtgjegdphrawy4h7uch05x889c9re4ajppf7f6u9vz2rxwjfd0epkcs7wdvfpjh5h7qvn4ck4,1,1,1,1,0.0913011800547311,5,49088.950138,49257.791723,-168.84158500000194,9893.494873,8195.56182175,1,5.0,1,110518.694214876,0.0,0.2,-0.0017167989686799,0.6500224216483541,0.0,0.0,0,,,,
addr_test1qp6ruunvywyrn2ldrxwk3h9dw254rgcwmp6g9prfjx53ntv898ykky2499xvnfn5eprxza4ctcvyvh96zhq8yn7p03lq2z8mze,1,1,1,1,0.105066347026639,2,18898.376703,18908.725657,-10.34895399999732,9456.950067,9451.77559,2,2.0,1,1463190.222222222,0.0,1.0,-0.0002737304197887,-0.0,0.0,0.0,0,,,,
addr_test1qpfpxx2m56u7td8duem6kkcdw25kfyd0jcv7g7hwup797p5d0v7l822u4xea8zty37320uz3nwdl88agexcj9n7s986q5j40uk,1,1,1,1,0.0940252076641072,12,5066.214307,5473.362987,-407.1486800000002,987.380719,376.4134747857143,4,12.0,1,250709.55555555547,0.0,0.3333333333333333,-0.0386304562927569,0.8112781244591328,0.0,0.0,0,,,,
addr_test1qpgq2n6vpdwskfjk0uzj9askyele649ghtz8q9r9m2r07hxw6a59ugz9wl2t82g3nggzgxpz99unwe48cx8zrct66p7syxy2l0,1,1,1,1,0.1405438351678635,1,8999.819891,10000.0,-1000.1801090000008,10000.0,3166.6366485,1,1.0,1,0.0,0.0,1.0,-0.0526415573799083,-0.0,,0.0,0,,,,
addr_test1qphpmu6qm46rgvvnxfwfc8a57y4dj20x665ulr5xjaywh93s8cfm5nnkkn5kve26gvssg7wp77jnxleujwcz8xs7v29qcdvhz8,1,1,1,1,0.1567430778751917,1,5.0,0.0,5.0,5.0,5.0,1,1.0,1,0.0,0.0,1.0,1.0,-0.0,,0.0,0,,,,
addr_test1qpsxak49pveycp2phjqzr9gfmttf9dqsx5t404xq4dz4u7ja2vzlmkj7ck88c4n40ehps56gxvts9x2weqgq89gfef5snjnwz3,1,1,1,1,0.135923470551997,1,5000.0,0.0,5000.0,5000.0,5000.0,1,1.0,1,0.0,0.0,1.0,1.0,-0.0,,0.0,0,,,,
addr_test1qptu9takwxy2309end3nuu54lpw4cpxlp7lunzqd25p69g7q9hp5y0uxq0mmautdg2mzmhctm6e5h56rrqf0epdvpwwswx5u2w,1,1,1,1,0.1383784024238951,1,10000.0,0.0,10000.0,10000.0,10000.0,1,1.0,1,0.0,0.0,1.0,1.0,-0.0,,0.0,0,,,,
addr_test1qpwrzk49m733n33krd27fdzn8yecwvju80e8c5g45asj35f2deak5yydxl5pmzdg20wgsadhu87r4elkwva8y9zge0uqs44jt2,1,1,1,1,0.1568143337763757,1,974.151903,979.320484,-5.168581000000017,979.320484,976.7361935,1,1.0,1,0.0,0.0,1.0,-0.0026458428767132,-0.0,,0.0,0,,,,
addr_test1qq50sks40pnh5tkth68m3lrvzvlepaew6prl3u8u69nd3zu9rk398gms2eh8snp58c9skehndz9ps8ff5rfns7mfafnqt4qk0e,1,1,1,1,0.0921411243251031,1,3.781,23.31279,-19.53179,23.31279,13.546895,2,1.0,1,0.0,0.0,2.0,-0.7208954524265524,-0.0,,0.0,1,,,,
addr_test1qqcm62zdvt38ctv432tptaqdrdh3hl2xlp4guq893hqpu6l77qrcufvgcycrglrj4qgxzfhk723vkn46patwnngwhyrqtunqtw,1,1,1,1,0.1480512249449767,2,1997.832695,1000.0,997.832695,1000.0,999.277565,2,2.0,1,484.0,0.0,1.0,0.3328513618069003,-0.0,0.0,0.0,0,,,,
addr_test1qqdxeujed4f77u82rslna9gtsrwnxqww8f3zxz8w4uz87vwy68rhqmmahtetcv2wcvsqe0ct9h6gmd8g5nsuw38rq4sqvh9dvw,-1,-1,1,-1,-0.0233394305371341,2,18629.790583,18632.125809,-2.3352259999992384,9316.646403,9315.479098,2,2.0,1,3603717.555555556,0.0,1.0,-6.267058235632247e-05,1.0,1.0,0.0,0,,,,
addr_test1qqj4t6m7pwqn6x3hkhs9cunj62fsgj7ezt9spvxj3mne77xp2lx7h4wuk22fmwmlhtzjvysysw663sdt6h4kwjk7ksvsfg7juk,1,1,1,1,0.0703591203318361,2,9690.764382,7689.081795,2001.6825870000007,4683.345118,1737.9846177,1,2.0,1,632.0987654320988,0.0,0.5,0.1151726296432342,1.0,0.0,0.4,0,,,,
addr_test1qqkxdt3sav4cz3r5xnrsstlxzlhuzhvyd2qm6wxz0gd63ee77fl6k08e6egytyweyv8w6al94rphdc47mrdzent8gazsykeyrk,-1,-1,-1,-1,-0.0101970246091133,2,0.0,100.0,-100.0,50.0,50.0,3,2.0,1,0.0,0.0,1.5,-1.0,-0.0,,1.0,0,,,,
addr_test1qqm56vjt0wa9xj2r5hye682ps9gz3ksw75cv45fdmhktpkfffsx09epxg2f586qkf0znd963phxjs2ja9849kh8d0xnsc7mp78,1,1,1,1,0.1111490994803559,4,39908.597266,39920.271238,-11.673972000004142,9982.820549,9978.608563,1,4.0,1,5068.530612244897,0.0,0.25,-0.000146237472969,-0.0,0.0,0.0,0,,,,
addr_test1qqpe6v4c95v0jlgjm5578w3san3eycf0hcfxwpp0yafze8mxjxnr4tyryejp4kxyqu0u82wv4hx6f6pqns9dknetaqgsmzzz6e,1,-1,1,1,-0.020208261261426,7,312820.14283200004,312846.005954,-25.863121999951545,22351.085134,14896.813066333332,7,7.0,1,606.4973230220107,0.0,1.0,-4.133693671958214e-05,-0.0,0.0,0.3333333333333333,0,,,,
addr_test1qqs88lem3gleyjj9lhhrxwj3q7uzvjyphce62pcf90wgutnl4my4md9cdrttjnk02vrmpc2av7a9vdnx600ekjrsfwvs50rr8m,1,1,1,1,0.1392783609183162,4,9862.402533,9866.657378999998,-4.254845999997997,9854.748194,2192.117768,2,4.0,1,35683.1875,0.0,0.5,-0.0002156638997994,-0.0,0.0,0.0,0,,,,
addr_test1qqtrjd6wx44xz5gkc9yl8xn6zjnzc2kns3y2tvdpmauvj2ey4t05exc5mmvkka0f75qkhw8ae9d27znqq82nqlr9x0ashdk5m0,1,1,-1,1,0.1088909430607912,1,8997.452941,9497.640442,-500.18750100000034,9497.640442,9247.5466915,0,1.0,1,0.0,0.0,0.0,-0.0270443349834477,-0.0,,0.0,0,,,,
addr_test1qqxnkqmvh6akr6jujzhw2mtf4uzf5n4a5p2drl5ha4hxqdw4pfgmdkjmu2z0rlxept3rfnha98xrmyf7v2vy5dal07wst360ex,1,1,1,1,0.140165092571412,2,700.0,0.0,700.0,400.0,350.0,1,2.0,1,0.0,0.0,0.5,1.0,-0.0,,0.0,0,,,,
addr_test1qqynu5d8p9yc7garta6z4g34e2tlzye5ty8uy6ljmffnpnjv7ncp3yppt0gcr50u60y43x32fgadhnl35u9hfqyql2pqepxt0y,1,1,1,1,0.1383784024238951,1,10000.0,0.0,10000.0,10000.0,10000.0,1,1.0,1,0.0,0.0,1.0,1.0,-0.0,,0.0,0,,,,
addr_test1qqzllc620hkk05l5cyg38wgflrunzw70x5h6825g03gu4yyc85y96hdkqtarg95gewuezjvkw8zt530tnmglhrzccdds5vxw0m,1,1,1,1,0.0008694286925096,3,10406.715854,10422.392152,-15.676297999998496,6738.88139,2314.345334,1,3.0,1,2441836.0,0.0,0.3333333333333333,-0.000752614946136,1.584962500721156,0.5,0.3333333333333333,0,,,,
addr_test1qr23z9axxwyh5zaj2ewqvfu6xd899tddxgasrwu35p2vgw9gvst4lcyrhmg0vtwq5g4tx25etraqj2cm6kwd8ly0eaaqwpc2hs,1,1,1,1,0.0853571772377846,5,15001.47031,15033.205123,-31.73481299999912,1882.498675,1877.1672145625,3,5.0,1,49465.39555555555,0.0,0.6,-0.0010566058245174,-0.0,0.0,0.375,0,,,,
